Declaration date,,Declaration date,,
12/27/06,,39078.00 ,,
9/18/07,,39343.00 ,,
10/22/07,,39377.00 ,,
11/22/07,,39408.00 ,,
1/22/08,,39469.00 ,,
1/22/08,,39469.00 ,,
1/31/08,,39478.00 ,,
3/12/08,,39519.00 ,,
5/27/08,,39595.00 ,,
9/11/08,,39702.00 ,,
9/11/08,,39702.00 ,,
9/11/08,,39702.00 ,,
10/14/08,,39735.00 ,,
10/14/08,,39735.00 ,,
11/26/08,,39778.00 ,,
1/20/09,,39833.00 ,,
1/23/08,,39470.00 ,,
5/26/10,,40324.00 ,,
6/29/10,,40358.00 ,,
7/13/10,,40372.00 ,,
8/11/10,,40401.00 ,,
9/14/10,,40435.00 ,,
1/15/07,,39097.00 ,,
9/11/08,,39702.00 ,,
9/11/08,,39702.00 ,,
9/14/10,,40435.00 ,,
9/14/10,,40435.00 ,,
3/29/10,,40266.00 ,,
7/26/10,,40385.00 ,,
11/26/08,,39778.00 ,,
1/19/07,,39101.00 ,,
12/3/10,,40515.00 ,,
12/3/10,,40515.00 ,,
10/17/06,,39007.00 ,,
11/13/08,,39765.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
4/29/09,,39932.00 ,,
5/17/09,,39950.00 ,,
6/29/10,,40358.00 ,,
7/13/10,,40372.00 ,,
11/26/08,,39778.00 ,,
1/18/07,,39100.00 ,,
1/11/07,,39093.00 ,,
9/18/07,,39343.00 ,,
11/22/07,,39408.00 ,,
1/22/08,,39469.00 ,,
1/22/08,,39469.00 ,,
3/12/08,,39519.00 ,,
3/13/08,,39520.00 ,,
5/27/08,,39595.00 ,,
1/8/10,,40186.00 ,,
3/25/09,,39897.00 ,,
8/29/06,,38958.00 ,,
1/11/07,,39093.00 ,,
8/21/07,,39315.00 ,,
1/13/09,,39826.00 ,,
12/3/10,,40515.00 ,,
1/11/07,,39093.00 ,,
9/18/07,,39343.00 ,,
10/19/06,,39009.00 ,,
10/17/06,,39007.00 ,,
5/17/09,,39950.00 ,,
12/3/10,,40515.00 ,,
1/19/07,,39101.00 ,,
9/18/07,,39343.00 ,,
10/22/07,,39377.00 ,,
11/22/07,,39408.00 ,,
11/27/07,,39413.00 ,,
1/22/08,,39469.00 ,,
1/31/08,,39478.00 ,,
3/13/08,,39520.00 ,,
1/22/08,,39469.00 ,,
3/12/08,,39519.00 ,,
5/27/08,,39595.00 ,,
9/11/08,,39702.00 ,,
5/28/08,,39596.00 ,,
5/28/08,,39596.00 ,,
9/11/08,,39702.00 ,,
9/11/08,,39702.00 ,,
11/1/06,,39022.00 ,,
1/11/07,,39093.00 ,,
11/1/06,,39022.00 ,,
11/1/06,,39022.00 ,,
1/22/07,,39104.00 ,,
11/22/07,,39408.00 ,,
9/11/08,,39702.00 ,,
1/16/07,,39098.00 ,,
1/19/07,,39101.00 ,,
8/21/07,,39315.00 ,,
9/18/07,,39343.00 ,,
1/11/07,,39093.00 ,,
10/27/10,,40478.00 ,,
5/26/10,,40324.00 ,,
1/22/08,,39469.00 ,,
5/27/08,,39595.00 ,,
9/11/08,,39702.00 ,,
11/26/08,,39778.00 ,,
1/25/07,,39107.00 ,,
4/4/07,,39176.00 ,,
1/22/08,,39469.00 ,,
11/1/06,,39022.00 ,,
2/5/07,,39118.00 ,,
1/22/08,,39469.00 ,,
3/13/08,,39520.00 ,,
10/19/06,,39009.00 ,,
10/19/06,,39009.00 ,,
9/18/07,,39343.00 ,,
11/22/07,,39408.00 ,,
11/28/07,,39414.00 ,,
1/22/08,,39469.00 ,,
