time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
417d,2,1,0,1,2008,0,1,1,0,3,0,0,1,1,0,0,1,0,3,1,0,0,2,5771641.5,5771641.5,0,2,One time payment
91d,19,1,0,1,2011,0,1,1,0,3,0,0,1,3,0,0,1,0,3,1,0,0,2,6480000,6480000,1,1,Installment payment
91d,19,1,0,1,2011,0,1,1,0,3,0,0,1,3,0,0,1,0,3,1,0,0,2,6600000,6600000,1,1,Installment payment
334d,19,1,0,1,2009,0,1,1,0,3,0,0,1,3,0,1,0,0,2,1,0,0,2,6829100,6829100,1,1,Installment payment
334d,19,1,0,1,2009,0,1,1,0,3,0,0,1,3,0,1,0,0,2,1,0,0,2,6829100,6829100,1,1,Installment payment
334d,19,1,0,1,2009,0,1,1,0,3,0,0,1,3,0,1,0,0,2,1,0,0,2,6829100,6829100,1,1,Installment payment
180d,19,1,0,1,2010,0,1,1,0,3,0,0,1,3,0,0,1,0,3,1,0,0,2,7992000,7992000,1,1,Installment payment
1095d,2,1,0,1,2006,0,1,1,0,3,1,0,0,2,1,1,0,0,2,1,0,0,2,8000000,8000000,1,1,Installment payment
730d,8,1,0,1,2010,0,1,1,0,3,0,0,1,1,1,1,0,0,2,1,0,0,2,8601894,8601894,1,3,commission payment
729d,8,1,0,1,2009,0,1,1,0,3,0,0,1,1,1,1,0,0,2,1,0,0,2,8818053,8818053,1,3,commission payment
356d,8,1,0,1,2007,0,1,1,0,3,0,0,1,1,1,1,0,0,2,1,0,0,2,9344412,9344412,1,1,Installment payment
730d,8,1,0,1,2011,0,1,1,0,3,0,0,1,1,1,1,0,0,2,1,0,0,2,9468976,9468976,1,3,commission payment
730d,8,1,0,1,2006,0,1,1,0,3,0,0,1,1,1,1,0,0,2,1,0,0,2,9600000,9558864,1,1,Installment payment
240d,19,1,0,1,2006,0,1,1,0,3,0,0,1,3,0,0,1,0,3,1,0,0,2,9581040,9581040,1,1,Installment payment
364d,9,1,0,0,2005,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,147362000,147362000,0,2,One time payment
364d,9,1,0,1,2006,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,188600000,188600000,0,2,One time payment
364d,9,1,0,1,2010,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,260000000,260000000,0,2,One time payment
364d,9,1,0,1,2006,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,1000000000,1000000000,1,3,commission payment
365d,9,1,0,1,2008,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,1400000000,1400000000,1,3,commission payment
364d,9,1,0,1,2007,0,1,1,0,3,1,0,0,2,0,0,1,0,3,1,0,0,2,1453400000,1453400000,1,3,commission payment
