time,amount,internalization,outsourcing,if the sitting date time after 2006,year,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Turnover,money,installment,paystyle,payment method
70d,1,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,158000,158000,1,1,Installment payment
365d,7,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,160000,160000,1,1,Installment payment
365d,5,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,160000,160000,1,1,Installment payment
380d,4,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,160000,160000,1,1,Installment payment
454d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,160000,160000,1,1,Installment payment
213d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,160000,160000,1,1,Installment payment
357d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,160000,160000,1,1,Installment payment
364d,1,0,1,1,2010,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,160140,160140,1,3,commission payment
238d,3,0,1,1,2010,0,0,0,1,4,1,0,0,2,1,1,0,0,2,1,0,0,2,163020,163020,1,1,Installment payment
46d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,165000,165000,1,1,Installment payment
259d,54,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,166600,166600,1,1,Installment payment
490d,30,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,168000,168000,1,1,Installment payment
172d,3,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,168000,168000,1,1,Installment payment
364d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,171000,171000,1,1,Installment payment
516d,30,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,175000,175000,1,1,Installment payment
193d,30,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,175000,175000,1,1,Installment payment
426d,54,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,175500,175500,1,1,Installment payment
730d,5,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,178184.52,178184.52,1,1,Installment payment
3653d,1,0,1,1,2006,0,0,0,1,4,1,0,0,2,1,1,0,0,2,0,0,1,3,178947,178947,1,1,Installment payment
181d,13,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
183d,13,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,180000,180000,1,1,Installment payment
456d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
366d,9,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
365d,7,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
115d,7,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
638d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
365d,4,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
461d,4,0,1,1,2009,0,0,0,1,4,1,0,0,2,0,0,1,0,3,1,0,0,2,180000,180000,1,1,Installment payment
516d,4,0,1,1,2009,0,0,0,1,4,1,0,0,2,0,0,1,0,3,1,0,0,2,180000,180000,1,1,Installment payment
365d,3,0,1,1,2006,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,180000,180000,1,1,Installment payment
365d,3,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
457d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
453d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,180000,180000,1,1,Installment payment
190d,3,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
150d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
60d,2,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,180000,180000,1,1,Installment payment
365d,2,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,180000,180000,1,3,commission payment
180d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
365d,1,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,180000,180000,1,1,Installment payment
61d,1,0,1,1,2007,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,180000,180000,1,1,Installment payment
90d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,183400,183400,1,1,Installment payment
514d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,184000,184000,1,1,Installment payment
419d,8,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,184320,184320,1,1,Installment payment
240d,6,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,185000,185000,1,1,Installment payment
451d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,185000,185000,1,1,Installment payment
480d,1,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,189921,189921,1,1,Installment payment
364d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,190000,190000,1,1,Installment payment
422d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,190000,190000,1,1,Installment payment
365d,3,0,1,1,2006,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,190000,190000,0,2,One time payment
187d,4,0,1,1,2009,0,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,191194,191194,0,2,One time payment
365d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,192000,192000,1,1,Installment payment
365d,8,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,192000,192000,1,1,Installment payment
261d,5,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,192000,192000,1,1,Installment payment
364d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,192000,192000,1,1,Installment payment
465d,14,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,195000,195000,1,1,Installment payment
54d,7,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,195500,195500,1,1,Installment payment
151d,26,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,196000,196000,1,1,Installment payment
226d,13,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,198600,198600,1,1,Installment payment
365d,2,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,199980,199980,1,1,Installment payment
365d,14,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,790000,200000,1,1,Installment payment
364d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
365d,5,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,200000,200000,1,1,Installment payment
1095d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,200000,200000,1,1,Installment payment
41d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
467d,3,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
121d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,200000,200000,1,1,Installment payment
1095d,2,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,200000,200000,1,1,Installment payment
1096d,2,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,200000,200000,0,2,One time payment
50d,2,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,200000,200000,1,1,Installment payment
487d,2,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,200000,200000,1,1,Installment payment
213d,2,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
1095d,1,0,1,1,2007,1,0,0,1,4,0,0,1,3,1,0,1,0,3,1,0,0,2,200000,200000,0,2,One time payment
365d,1,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,200000,200000,1,1,Installment payment
365d,1,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,200000,200000,1,1,Installment payment
226d,1,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,200000,200000,1,1,Installment payment
50d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,201120,201120,1,1,Installment payment
434d,10,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,203176,203176,1,1,Installment payment
482d,9,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,205000,205000,1,1,Installment payment
406d,1,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,205400,205400,1,1,Installment payment
1168d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,210000,210000,1,1,Installment payment
488d,2,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,210000,210000,1,1,Installment payment
119d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,0,0,1,1,1,0,0,2,210000,210000,0,2,One time payment
364d,1,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,210000,210000,1,1,Installment payment
101d,54,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,212500,212500,1,1,Installment payment
455d,14,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,215000,215000,1,1,Installment payment
426d,7,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,215000,215000,1,1,Installment payment
365d,34,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,216000,216000,1,1,Installment payment
365d,5,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,216000,216000,1,1,Installment payment
181d,2,0,1,1,2006,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,216000,216000,1,1,Installment payment
1095d,1,0,1,1,2007,0,0,0,1,4,1,0,0,2,1,0,1,0,3,1,0,0,2,216000,216000,1,3,commission payment
58d,13,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,220000,220000,1,1,Installment payment
521d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,220000,220000,1,1,Installment payment
593d,9,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,220000,220000,1,1,Installment payment
171d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,220000,220000,1,1,Installment payment
119d,1,0,1,1,2006,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,220000,220000,1,1,Installment payment
112d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,220000,220000,1,1,Installment payment
1036d,1,0,1,1,2010,0,0,0,1,4,1,0,0,2,1,1,0,0,2,1,0,0,2,220000,220000,1,1,Installment payment
383d,1,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,220828,220828,1,1,Installment payment
364d,10,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,221000,221000,1,1,Installment payment
457d,14,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,223600,223600,1,1,Installment payment
88d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,225000,225000,1,1,Installment payment
435d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,225000,225000,1,1,Installment payment
180d,8,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,225000,225000,1,1,Installment payment
83d,4,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,225000,225000,1,1,Installment payment
90d,3,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,0,1,0,1,225000,225000,1,1,Installment payment
938d,1,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,225000,225000,1,1,Installment payment
120d,13,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,226000,226000,1,1,Installment payment
364d,34,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,228000,228000,1,1,Installment payment
364d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,228000,228000,1,1,Installment payment
459d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,230000,230000,1,1,Installment payment
359d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,230000,230000,1,1,Installment payment
452d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,230000,230000,1,1,Installment payment
155d,1,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,230000,230000,1,1,Installment payment
383d,1,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,230109,230109,1,1,Installment payment
435d,2,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,233955,233955,1,1,Installment payment
365d,54,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,234000,234000,1,1,Installment payment
364d,30,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,234000,234000,1,1,Installment payment
473d,15,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,235000,235000,1,1,Installment payment
593d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,235000,235000,0,2,One time payment
452d,8,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,235000,235000,1,1,Installment payment
365d,10,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,237000,237000,1,1,Installment payment
364d,1,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,237600,237600,1,1,Installment payment
297d,1,0,1,1,2008,0,0,0,1,4,1,0,0,2,1,1,0,0,2,1,0,0,2,237850,237850,0,2,One time payment
364d,13,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,238000,238000,1,1,Installment payment
454d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,238000,238000,1,1,Installment payment
355d,10,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,239038.92,239038.92,1,1,Installment payment
547d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,240000,240000,1,1,Installment payment
54d,14,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,240000,240000,0,2,One time payment
182d,14,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,240000,240000,1,1,Installment payment
365d,8,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,240000,240000,1,1,Installment payment
364d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,240000,240000,1,1,Installment payment
609d,1,0,1,1,2011,0,0,0,1,4,1,0,0,2,1,0,0,1,1,1,0,0,2,240000,240000,1,1,Installment payment
510d,9,0,1,1,2011,0,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,243000,243000,1,1,Installment payment
428d,1,0,1,1,2011,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,243200,243200,1,1,Installment payment
364d,2,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,243788,243788,1,1,Installment payment
203d,1,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,244000,244000,1,1,Installment payment
729d,2,0,1,1,2010,0,0,0,1,4,1,0,0,2,1,0,0,1,1,0,1,0,1,244016,244016,0,2,One time payment
39d,3,0,1,1,2006,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,248000,248000,1,1,Installment payment
730d,3,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,248000,248000,1,1,Installment payment
425d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,250000,250000,1,1,Installment payment
364d,7,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
153d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
150d,5,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,250000,250000,1,1,Installment payment
365d,4,1,,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
503d,4,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
274d,2,0,1,1,2008,0,0,0,1,4,1,0,0,2,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
251d,2,0,1,1,2009,0,0,0,1,4,0,0,1,3,1,1,0,0,2,0,1,0,1,250000,250000,1,1,Installment payment
152d,1,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
365d,1,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,250000,250000,1,1,Installment payment
60d,1,0,1,1,2009,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
484d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,250000,250000,1,1,Installment payment
442d,1,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,250000,250000,1,1,Installment payment
483d,1,0,1,1,2011,0,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,250000,250000,1,1,Installment payment
364d,1,0,1,1,2009,0,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,250800,250800,1,1,Installment payment
365d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,251437.33,251437.33,1,1,Installment payment
508d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,253000,253000,1,1,Installment payment
445d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,253000,253000,1,1,Installment payment
365d,1,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,257974.64,257974.64,1,1,Installment payment
617d,14,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,260000,260000,1,1,Installment payment
484d,14,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,260000,260000,1,1,Installment payment
365d,13,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,260000,260000,1,1,Installment payment
423d,8,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,260000,260000,1,1,Installment payment
365d,8,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,260000,260000,1,1,Installment payment
364d,7,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,260000,260000,1,1,Installment payment
136d,5,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,260000,260000,1,1,Installment payment
164d,4,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,260000,260000,1,1,Installment payment
366d,74,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,264000,264000,1,1,Installment payment
365d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,264000,264000,1,1,Installment payment
365d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,264000,264000,1,1,Installment payment
57d,1,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,265000,265000,1,1,Installment payment
434d,8,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,266000,266000,1,1,Installment payment
364d,1,0,1,1,2007,0,0,0,1,4,0,0,1,3,1,0,0,1,1,1,0,0,2,268000,268000,1,1,Installment payment
365d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,270000,270000,1,1,Installment payment
90d,41,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,270000,270000,1,1,Installment payment
731d,41,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,270000,270000,1,1,Installment payment
753d,34,0,1,1,2007,1,0,0,1,4,0,0,1,3,1,0,1,0,3,1,0,0,2,270000,270000,1,1,Installment payment
183d,14,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,270000,270000,1,1,Installment payment
139d,13,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,270000,270000,1,1,Installment payment
425d,10,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,270000,270000,1,1,Installment payment
181d,8,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,270000,270000,1,1,Installment payment
497d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,270000,270000,0,2,One time payment
528d,5,0,1,1,2011,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,270000,270000,1,1,Installment payment
407d,4,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,270000,270000,1,1,Installment payment
225d,1,0,1,1,2010,0,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,270000,270000,1,1,Installment payment
730d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,274500,274500,1,1,Installment payment
1095d,1,0,1,1,2007,1,0,0,1,4,0,0,1,3,1,0,1,0,3,1,0,0,2,275000,275000,0,2,One time payment
365d,74,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,276000,276000,0,2,One time payment
182d,10,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,278302.5,278302.5,1,1,Installment payment
30d,14,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,280000,280000,1,1,Installment payment
89d,8,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,280000,280000,1,1,Installment payment
53d,8,1,,1,2011,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,280000,280000,0,2,One time payment
364d,7,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,280000,280000,1,1,Installment payment
767d,6,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,280000,280000,1,1,Installment payment
426d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,280000,280000,1,1,Installment payment
245d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,280000,280000,1,1,Installment payment
1156d,7,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,0,1,0,1,281000,281000,1,1,Installment payment
365d,41,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,288000,288000,1,1,Installment payment
364d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,289000,289000,1,1,Installment payment
1135d,2,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,290000,290000,1,1,Installment payment
365d,2,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,290000,290000,1,1,Installment payment
364d,6,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,292000,292000,1,1,Installment payment
365d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,293000,293000,1,1,Installment payment
378d,1,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,0,0,1,1,0,1,0,1,293544.77,293544.77,1,1,Installment payment
365d,41,0,1,1,2009,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,330000,297000,1,1,Installment payment
30d,8,0,1,1,2010,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,298000,298000,1,1,Installment payment
365d,1,0,1,1,2008,1,0,0,1,4,0,0,1,1,1,0,0,1,1,1,0,0,2,299000,299000,0,2,One time payment
62d,54,0,1,1,2006,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,300000,300000,1,1,Installment payment
480d,30,0,1,1,2007,1,0,0,1,4,0,0,1,1,1,1,0,0,2,1,0,0,2,300000,300000,1,1,Installment payment
